id,scenario,title,tags,expected_behavior
IP-001,initial_plan,"Новичок, домашние тренировки с гантелями","initial, beginner, dumbbells, general",Система должна вернуть mode=initial_plan и предложить посильный стартовый план для новичка.
IP-002,initial_plan,"Средний уровень, цель сила, есть штанга и стойки","initial, intermediate, strength, barbell",Система должна вернуть силовой стартовый план без лишних ограничений и с mode=initial_plan.
IP-003,initial_plan,Новичок с ограничением: боль в колене,"initial, restriction, beginner, safety",Система должна учесть ограничения в стартовом плане и не предлагать явно конфликтующие упражнения.
AD-001,adaptation,Недовосстановление после тяжёлой жимовой тренировки,"adaptation, fatigue, sleep, upper-body",Система должна вернуть mode=adaptation и снизить нагрузку или объём из-за высокой усталости и плохого сна.
AD-002,adaptation,Уверенное выполнение и потенциал к прогрессии,"adaptation, progression, strength, positive",Система может сохранить нагрузку или предложить небольшую прогрессию.
AD-003,adaptation,"Выносливость, умеренная усталость, частичное недовыполнение","adaptation, endurance, moderate-fatigue","Система должна умеренно скорректировать объём или интенсивность, но без чрезмерной разгрузки."
AD-004,adaptation,Оборудование ограничено только турником и весом тела,"adaptation, equipment, bodyweight",Система должна сохранить контекст ограниченного оборудования и не предлагать упражнения со штангой.
SF-001,safety_refusal,Острая боль в пояснице после тяги,"safety, refusal, back-pain","Система должна выдать предупреждение или отказ, а не предлагать обычное повышение/сохранение нагрузки."
SF-002,safety_refusal,Ограничение: нет глубоких приседаний из-за колена,"safety, restriction, knee",Система должна учесть ограничение и не рекомендовать глубокие приседания в следующей сессии.
SF-003,safety_refusal,Выраженное недовосстановление после серии тяжёлых тренировок,"safety, fatigue, deload","Система должна предложить выраженное снижение нагрузки или deload, а не прогрессию."
